phi,M,N,R,r,lgr,Sm,Sn,lnU,lgU,_,P,D
0,6335552.9,6378245,6356863.1,6378245,6.8047012,0,111321.4,0,0,0,0,0.000
0.5,6335557.7,6378246.6,6356866.3,6378003.8,6.8046848,55288.1,111317.2,0.00866835,0.00376462,29800,352636.9,29.800
1,6335572.2,6378251.5,6356876,6377280.1,6.8046355,110576.4,111304.5,0.01733736,0.00752952,59601,705247.6,59.601
1.5,6335596.4,6378259.6,6356892.2,6376074,6.8045533,165864.8,111283.5,0.02600772,0.01129501,89408,1057806.1,89.408
2,6335630.3,6378271,6356914.9,6374385.5,6.8044383,221153.4,111254,0.03468008,0.01506137,119221,1410286.1,119.221
2.5,6335673.9,6378285.6,6356944,6372214.9,6.8042904,276442.4,111216.1,0.04335512,0.01882889,149044,1762661.7,149.044
3,6335727.1,6378303.5,6356979.6,6369562.2,6.8041096,331731.8,111169.8,0.05203351,0.02259787,178878,2114906.6,178.878
3.5,6335789.9,6378324.6,6357021.7,6366427.7,6.8038958,387021.7,111115.1,0.06071593,0.02636859,208726,2466994.7,208.726
4,6335862.4,6378348.9,6357070.1,6362811.5,6.8036491,442312.2,111052,0.06940304,0.03014136,238590,2818900,238.590
4.5,6335944.4,6378376.4,6357125,6358714,6.8033693,497603.4,110980.5,0.07809552,0.03391645,268473,3170596.3,268.473
5,6336036.1,6378407.2,6357186.3,6354135.4,6.8030565,552895.4,110900.6,0.08679406,0.03769418,298376,3522057.5,298.376
5.5,6336137.2,6378441.1,6357254,6349076,6.8027105,608188.2,110812.3,0.09549933,0.04147483,328303,3873257.7,328.303
6,6336247.9,6378478.2,6357328,6343536.3,6.8023314,663481.9,110715.6,0.10421201,0.0452587,358255,4224170.6,358.255
6.5,6336368.1,6378518.6,6357408.4,6337516.5,6.8019191,718776.6,110610.5,0.1129328,0.04904609,388234,4574770.4,388.234
7,6336497.7,6378562.1,6357495.1,6331017.2,6.8014735,774072.4,110497.1,0.12166237,0.0528373,418244,4925031,418.244
7.5,6336636.7,6378608.7,6357588.1,6324038.8,6.8009945,829369.3,110375.3,0.13040143,0.05663262,448287,5274926.4,448.287
8,6336785.1,6378658.5,6357687.3,6316581.8,6.8004821,884667.6,110245.2,0.13915066,0.06043237,478365,5624430.5,478.365
8.5,6336942.8,6378711.4,6357792.8,6308646.8,6.7999362,939967.1,110106.7,0.14791078,0.06423683,508480,5973517.5,508.480
9,6337109.8,6378767.4,6357904.5,6300234.2,6.7993567,995268.1,109959.8,0.15668247,0.06804633,538635,6322161.5,538.635
